ranked;index;attribute
0.00287;732;success
0.00286;63;113
0.00286;523;naming
0.00286;455;keytab
0.00283;293;echo
0.00282;498;message
0.0028;768;tokens
0.00275;296;elements
0.00274;831;works
0.00274;614;received
0.00273;749;tests
0.00264;479;log
0.00262;460;lang
0.00262;58;01
0.0026;826;without
0.0026;316;ex
0.00259;279;different
0.00253;11;extends_keyword
0.00252;270;delegation
0.00252;323;executors
0.00252;544;once
0.00251;407;i
0.0025;34;void_keyword
0.0025;500;metric
0.0025;762;timestamp
0.0025;351;fill
0.00242;803;validate
0.00239;511;modified
0.00239;432;ip
0.00235;601;queue
0.00235;344;field
0.00234;236;convert
0.00234;132;allocate
0.00234;504;missing
0.00233;471;link
0.00231;269;default
0.00229;290;due
0.00228;767;token
0.00226;135;am
0.00225;489;mapper
0.00224;400;host
0.00224;659;s1
0.00224;358;four
0.00224;616;records
0.00221;71;222
0.00221;108;abcd
0.00217;502;millis
0.00214;79;958
0.00214;811;vevent
0.00214;73;323
0.00214;250;country=us
0.00214;558;oryx
0.00212;810;version
0.00211;160;asserttrue
0.00208;244;correct
0.00208;835;writefile
0.00207;782;ugi
0.002;399;helper
0.002;197;called
0.002;817;warn
0.002;404;http/1
0.00199;634;request
0.00194;355;flush
0.00193;452;key
0.0019;446;join
0.00185;522;names
0.00184;664;scanner
0.00184;551;operation
0.00183;159;assertthat
0.0018;612;real
0.00179;232;consumer
0.00179;646;retries
0.00179;291;dummy
0.00179;843;xxx
0.00179;5;class_keyword
0.00178;136;an
0.00177;508;mockfs
0.00177;347;file2
0.00176;543;on
0.00176;331;f2
0.00176;139;answer
0.00172;589;prepare
0.00172;359;frame
0.00157;145;application
0.0015;342;fault
0;4;char_keyword
0;25;private_keyword
0;22;native_keyword
0;111;acl
0;2;byte_keyword
0;128;address
0;133;allowed
0;134;already
0;24;package_keyword
0;3;case_keyword
0;147;are
0;144;appender
0;20;interface_keyword
0;19;instanceof_keyword
0;123;addr
0;14;float_keyword
0;9;enum_keyword
0;141;apache
0;10;exports_keyword
0;138;another
0;8;else_keyword
0;7;double_keyword
0;17;implements_keyword
0;18;import_keyword
0;120;added
0;15;for_keyword
0;6;continue_keyword
0;121;addheader
0;74;4
0;26;protected_keyword
0;110;access
0;100;<sla
0;59;02
0;199;capacity
0;198;can
0;172;based
0;170;bar
0;53;/foo
0;51;//localhost
0;168;back
0;167;available
0;169;bad
0;48;/
0;205;char
0;195;c1
0;173;basic
0;192;by
0;180;begin
0;72;3
0;185;boolean
0;78;8
0;184;body
0;179;before
0;69;200
0;174;be
0;177;become
0;64;12
0;66;13
0;68;20
0;178;been
0;166;authorization
0;207;checksum
0;46;-
0;77;7
0;223;compare
0;31;super_keyword
0;105;=>
0;219;com
0;158;assertnull
0;156;assertfalse
0;33;throw_keyword
0;227;config
0;228;configuration
0;109;absolute
0;30;strictfp_keyword
0;29;static_keyword
0;32;this_keyword
0;217;collections
0;45;+
0;209;cleanup
0;163;auth
0;165;authority
0;41;#
0;44;&
0;43;%s
0;162;at
0;161;async
0;36;while_keyword
0;35;volatile_keyword
0;37;true_keyword
0;39;goto_keyword
0;38;false_keyword
0;245;correctly
0;425;integer
0;247;count
0;671;security
0;669;seconds
0;673;see
0;666;scope
0;675;sequence
0;668;second
0;665;scheme
0;647;retry
0;654;rpc
0;650;root
0;658;s
0;661;same
0;660;safe
0;676;server
0;681;setproperty
0;683;setup
0;697;so
0;696;snapshot
0;699;some
0;684;sg
0;701;source
0;693;skip
0;692;size
0;691;sink
0;690;single
0;685;short
0;686;should
0;689;since
0;649;roll
0;645;ret
0;579;per
0;600;qaaad//0o
0;599;put
0;603;quota
0;597;proxy
0;604;rack
0;598;proxyuser
0;588;prefix
0;644;results
0;584;policy
0;581;ping
0;585;pool
0;587;post
0;586;port
0;608;range
0;610;read
0;611;reader
0;637;resolve
0;636;reset
0;639;response
0;613;receive
0;641;restart
0;629;replace
0;628;rename
0;627;removed
